Missing %,Imputation,Model,MAE,RMSE,R2
5.0,mean,Linear Regression,22.104316216968307,36.10692375201129,0.8294146723307424
5.0,mean,Decision Tree,15.673465231306372,32.86494467215415,0.8586725550988704
5.0,mean,Random Forest,11.784315536805355,24.88102429188466,0.9189977268035736
5.0,knn,Linear Regression,22.104316216968307,36.10692375201129,0.8294146723307424
5.0,knn,Decision Tree,15.673465231306372,32.86494467215415,0.8586725550988704
5.0,knn,Random Forest,11.784315536805355,24.88102429188466,0.9189977268035736
10.0,mean,Linear Regression,22.104316216968307,36.10692375201129,0.8294146723307424
10.0,mean,Decision Tree,15.673465231306372,32.86494467215415,0.8586725550988704
10.0,mean,Random Forest,11.784315536805355,24.88102429188466,0.9189977268035736
10.0,knn,Linear Regression,22.104316216968307,36.10692375201129,0.8294146723307424
10.0,knn,Decision Tree,15.673465231306372,32.86494467215415,0.8586725550988704
10.0,knn,Random Forest,11.784315536805355,24.88102429188466,0.9189977268035736
20.0,mean,Linear Regression,22.104316216968307,36.10692375201129,0.8294146723307424
20.0,mean,Decision Tree,15.673465231306372,32.86494467215415,0.8586725550988704
20.0,mean,Random Forest,11.784315536805355,24.88102429188466,0.9189977268035736
20.0,knn,Linear Regression,22.104316216968307,36.10692375201129,0.8294146723307424
20.0,knn,Decision Tree,15.673465231306372,32.86494467215415,0.8586725550988704
20.0,knn,Random Forest,11.784315536805355,24.88102429188466,0.9189977268035736
30.0,mean,Linear Regression,22.104316216968307,36.10692375201129,0.8294146723307424
30.0,mean,Decision Tree,15.673465231306372,32.86494467215415,0.8586725550988704
30.0,mean,Random Forest,11.784315536805355,24.88102429188466,0.9189977268035736
30.0,knn,Linear Regression,22.104316216968307,36.10692375201129,0.8294146723307424
30.0,knn,Decision Tree,15.673465231306372,32.86494467215415,0.8586725550988704
30.0,knn,Random Forest,11.784315536805355,24.88102429188466,0.9189977268035736
